frame,x,y,width,height,box_area,smoothed_area,area_ratio,speed,max_approach_speed,approach_duration,status,is_approaching,overtake_chance,overtake_status,duration_penalty,size_score,speed_score,tracking
123,790,471,165,114,18810,18810.0,2.6605374823196604,0.0,0.0,0,MOVING AWAY,False,48,⚡ MEDIUM OVERTAKE CHANCE,0,38.68458274398868,0,success
124,790,472,165,114,18810,18810.0,2.6605374823196604,0.0,0.0,0,MOVING AWAY,False,48,⚡ MEDIUM OVERTAKE CHANCE,0,38.68458274398868,0,success
125,790,473,165,114,18810,18810.0,2.6605374823196604,0.0,0.0,0,MOVING AWAY,False,48,⚡ MEDIUM OVERTAKE CHANCE,0,38.68458274398868,0,success
126,785,471,173,120,20760,19200.0,2.7157001414427158,975.0,975.0,0,APPROACHING,True,51,⚡ MEDIUM OVERTAKE CHANCE,0,40.52333804809052,30,success
127,791,476,165,114,18810,19200.0,2.7157001414427158,0.0,0.0,0,MOVING AWAY,False,51,⚡ MEDIUM OVERTAKE CHANCE,0,40.52333804809052,0,success
128,788,477,165,114,18810,19200.0,2.7157001414427158,-975.0,0.0,0,MOVING AWAY,False,51,⚡ MEDIUM OVERTAKE CHANCE,0,40.52333804809052,0,success
129,788,478,165,114,18810,19200.0,2.7157001414427158,0.0,0.0,0,MOVING AWAY,False,51,⚡ MEDIUM OVERTAKE CHANCE,0,40.52333804809052,0,success
130,791,482,157,109,17113,18860.6,2.6676944837340875,-848.5,0.0,0,MOVING AWAY,False,51,⚡ MEDIUM OVERTAKE CHANCE,0,38.923149457802914,0,success
131,791,482,157,109,17113,18131.2,2.5645261669024046,-848.5,0.0,0,MOVING AWAY,False,51,⚡ MEDIUM OVERTAKE CHANCE,0,35.48420556341349,0,success
132,790,483,157,109,17113,17791.8,2.5165205091937763,0.0,0.0,0,MOVING AWAY,False,51,⚡ MEDIUM OVERTAKE CHANCE,0,33.88401697312588,0,success
133,790,483,157,109,17113,17452.4,2.468514851485149,0.0,0.0,0,MOVING AWAY,False,50,⚡ MEDIUM OVERTAKE CHANCE,0,32.283828382838294,0,success
134,789,484,157,109,17113,17113.0,2.4205091937765206,0.0,0.0,0,MOVING AWAY,False,49,⚡ MEDIUM OVERTAKE CHANCE,0,30.683639792550686,0,success
135,789,484,157,109,17113,17113.0,2.4205091937765206,0.0,0.0,0,MOVING AWAY,False,48,⚡ MEDIUM OVERTAKE CHANCE,0,30.683639792550686,0,success
136,790,484,157,109,17113,17113.0,2.4205091937765206,0.0,0.0,0,MOVING AWAY,False,44,📉 LOW OVERTAKE CHANCE,0,30.683639792550686,0,success
137,790,485,157,109,17113,17113.0,2.4205091937765206,0.0,0.0,0,MOVING AWAY,False,43,📉 LOW OVERTAKE CHANCE,0,30.683639792550686,0,success
138,790,484,157,109,17113,17113.0,2.4205091937765206,0.0,0.0,0,MOVING AWAY,False,42,📉 LOW OVERTAKE CHANCE,0,30.683639792550686,0,success
139,790,484,157,109,17113,17113.0,2.4205091937765206,0.0,0.0,0,MOVING AWAY,False,41,📉 LOW OVERTAKE CHANCE,0,30.683639792550686,0,success
140,790,484,157,109,17113,17113.0,2.4205091937765206,0.0,0.0,0,MOVING AWAY,False,41,📉 LOW OVERTAKE CHANCE,0,30.683639792550686,0,success
141,791,484,157,109,17113,17113.0,2.4205091937765206,0.0,0.0,0,MOVING AWAY,False,40,📉 LOW OVERTAKE CHANCE,0,30.683639792550686,0,success
142,791,484,157,109,17113,17113.0,2.4205091937765206,0.0,0.0,0,MOVING AWAY,False,40,📉 LOW OVERTAKE CHANCE,0,30.683639792550686,0,success
143,792,483,157,109,17113,17113.0,2.4205091937765206,0.0,0.0,0,MOVING AWAY,False,40,📉 LOW OVERTAKE CHANCE,0,30.683639792550686,0,success
144,793,482,157,109,17113,17113.0,2.4205091937765206,0.0,0.0,0,MOVING AWAY,False,40,📉 LOW OVERTAKE CHANCE,0,30.683639792550686,0,success
145,793,482,157,109,17113,17113.0,2.4205091937765206,0.0,0.0,0,MOVING AWAY,False,40,📉 LOW OVERTAKE CHANCE,0,30.683639792550686,0,success
146,793,482,157,109,17113,17113.0,2.4205091937765206,0.0,0.0,0,MOVING AWAY,False,40,📉 LOW OVERTAKE CHANCE,0,30.683639792550686,0,success
147,799,483,149,103,15347,16759.8,2.3705516265912303,-883.0,0.0,0,MOVING AWAY,False,39,📉 LOW OVERTAKE CHANCE,0,29.01838755304101,0,success
