frame,area_ratio,block_diff,status,overtake_chance,duration_penalty
251,2.9243697478991595,0.0,MOVING AWAY,74,0.0
252,2.9243697478991595,0.0,MOVING AWAY,74,0.0
253,3.2356053532524123,0.0,MOVING AWAY,74,0.0
254,3.2356053532524123,0.0,MOVING AWAY,74,0.0
255,3.1751011515717398,-194.39999999999964,MOVING AWAY,71,0.0
256,3.5555555555555554,-194.39999999999964,MOVING AWAY,68,0.0
257,3.9293495175848117,-194.39999999999964,MOVING AWAY,65,0.0
258,3.9293495175848117,-194.39999999999964,MOVING AWAY,62,0.0
259,3.9293495175848117,-194.39999999999964,MOVING AWAY,59,0.0
260,3.9330843448490507,2435.3999999999996,APPROACHING,62,0.0
261,3.9293495175848117,2435.3999999999996,APPROACHING,65,0.0
262,4.321817615935263,2435.3999999999996,APPROACHING,69,0.0
263,4.76750700280112,2435.3999999999996,APPROACHING,72,0.0
264,4.321817615935263,2435.3999999999996,APPROACHING,75,0.0
265,4.332461873638344,1283.2000000000007,APPROACHING,78,0.0
266,4.321817615935263,1283.2000000000007,APPROACHING,81,0.0
267,4.321817615935263,1283.2000000000007,APPROACHING,84,0.0
268,3.9293495175848117,1283.2000000000007,APPROACHING,87,0.0
269,3.9293495175848117,1283.2000000000007,APPROACHING,90,0.0
270,4.1648303765950825,-538.6000000000004,MOVING AWAY,87,0.0
271,4.321817615935263,-538.6000000000004,MOVING AWAY,84,0.0
272,4.321817615935263,-538.6000000000004,MOVING AWAY,81,0.0
273,3.5555555555555554,-538.6000000000004,MOVING AWAY,78,0.0
274,3.9293495175848117,-538.6000000000004,MOVING AWAY,75,0.0
275,3.9368191721132897,-732.6000000000004,MOVING AWAY,72,0.0
276,3.9293495175848117,-732.6000000000004,MOVING AWAY,69,0.0
277,3.9293495175848117,-732.6000000000004,MOVING AWAY,66,0.0
278,3.9293495175848117,-732.6000000000004,MOVING AWAY,63,0.0
279,3.5555555555555554,-732.6000000000004,MOVING AWAY,60,0.0
280,3.8545907251789604,-264.2000000000007,MOVING AWAY,60,0.0
281,3.5555555555555554,-264.2000000000007,MOVING AWAY,60,0.0
282,3.5555555555555554,-264.2000000000007,MOVING AWAY,60,0.0
283,3.5555555555555554,-264.2000000000007,MOVING AWAY,60,0.0
284,3.9293495175848117,-264.2000000000007,MOVING AWAY,60,0.0
285,3.630314347961407,-720.5999999999985,MOVING AWAY,60,0.0
286,3.2356053532524123,-720.5999999999985,MOVING AWAY,60,0.0
287,2.9243697478991595,-720.5999999999985,MOVING AWAY,59,0.0
288,2.660753190164955,-720.5999999999985,MOVING AWAY,58,0.0
289,2.9243697478991595,-720.5999999999985,MOVING AWAY,58,0.0
290,2.8811702458761284,-2407.0,MOVING AWAY,57,0.0
291,2.660753190164955,-2407.0,MOVING AWAY,56,0.0
292,2.9243697478991595,-2407.0,MOVING AWAY,56,0.0
293,2.660753190164955,-2407.0,MOVING AWAY,55,0.0
294,2.660753190164955,-2407.0,MOVING AWAY,53,0.0
295,2.7661998132586367,-369.40000000000146,MOVING AWAY,53,0.0
296,2.9243697478991595,-369.40000000000146,MOVING AWAY,52,0.0
297,2.9243697478991595,-369.40000000000146,MOVING AWAY,52,0.0
298,3.2356053532524123,-369.40000000000146,MOVING AWAY,54,0.0
299,2.9243697478991595,-369.40000000000146,MOVING AWAY,54,0.0
300,3.0488639900404606,908.2000000000007,APPROACHING,57,0.0
301,2.9243697478991595,908.2000000000007,APPROACHING,61,0.0
302,2.9243697478991595,908.2000000000007,APPROACHING,64,0.0
303,3.2356053532524123,908.2000000000007,APPROACHING,68,0.0
304,2.9243697478991595,908.2000000000007,APPROACHING,72,0.0
305,3.0488639900404606,0.0,MOVING AWAY,73,0.0
306,2.9243697478991595,0.0,MOVING AWAY,73,0.0
307,2.9243697478991595,0.0,MOVING AWAY,73,0.0
308,3.2356053532524123,0.0,MOVING AWAY,73,0.0
309,2.9243697478991595,0.0,MOVING AWAY,73,0.0
310,2.98661686896981,-200.0,MOVING AWAY,70,0.0
311,2.9243697478991595,-200.0,MOVING AWAY,67,0.0
312,2.9243697478991595,-200.0,MOVING AWAY,64,0.0
313,2.9243697478991595,-200.0,MOVING AWAY,60,0.0
314,2.9243697478991595,-200.0,MOVING AWAY,57,0.0
315,2.98661686896981,0.0,MOVING AWAY,57,0.0
316,3.2356053532524123,0.0,MOVING AWAY,58,0.0
317,2.660753190164955,0.0,MOVING AWAY,57,0.0
318,2.9243697478991595,0.0,MOVING AWAY,56,0.0
319,2.9243697478991595,0.0,MOVING AWAY,56,0.0
320,2.9338935574229694,-169.39999999999964,MOVING AWAY,56,0.0
321,2.9243697478991595,-169.39999999999964,MOVING AWAY,56,0.0
322,2.9243697478991595,-169.39999999999964,MOVING AWAY,56,0.0
323,2.9243697478991595,-169.39999999999964,MOVING AWAY,56,0.0
324,2.9243697478991595,-169.39999999999964,MOVING AWAY,56,0.0
325,2.9243697478991595,-30.600000000000364,MOVING AWAY,56,0.0
326,2.9243697478991595,-30.600000000000364,MOVING AWAY,56,0.0
327,2.9243697478991595,-30.600000000000364,MOVING AWAY,57,0.0
328,3.2356053532524123,-30.600000000000364,MOVING AWAY,57,0.0
329,3.2356053532524123,-30.600000000000364,MOVING AWAY,57,0.0
330,3.111111111111111,600.0,APPROACHING,60,0.0
331,3.2356053532524123,600.0,APPROACHING,64,0.0
332,2.9243697478991595,600.0,APPROACHING,67,0.0
333,2.9243697478991595,600.0,APPROACHING,70,0.0
334,3.2356053532524123,600.0,APPROACHING,73,0.0
335,3.111111111111111,0.0,MOVING AWAY,73,0.0
336,3.2356053532524123,0.0,MOVING AWAY,74,0.0
337,3.2356053532524123,0.0,MOVING AWAY,74,0.0
338,3.2356053532524123,0.0,MOVING AWAY,74,0.0
339,3.2356053532524123,0.0,MOVING AWAY,74,0.0
340,3.2356053532524123,400.0,APPROACHING,74,0.0
341,3.2356053532524123,400.0,APPROACHING,74,0.0
342,3.5555555555555554,400.0,APPROACHING,74,0.0
343,3.2356053532524123,400.0,APPROACHING,75,0.0
344,3.2356053532524123,400.0,APPROACHING,75,0.0
345,3.299595393713041,205.60000000000036,APPROACHING,78,0.0
346,3.2356053532524123,205.60000000000036,APPROACHING,81,0.0
347,3.2356053532524123,205.60000000000036,APPROACHING,84,0.0
348,3.2356053532524123,205.60000000000036,APPROACHING,87,0.0
349,2.9243697478991595,205.60000000000036,APPROACHING,89,0.0
350,3.111111111111111,-605.6000000000004,MOVING AWAY,86,0.0
351,2.9243697478991595,-605.6000000000004,MOVING AWAY,83,0.0
352,2.9243697478991595,-605.6000000000004,MOVING AWAY,80,0.0
353,3.2356053532524123,-605.6000000000004,MOVING AWAY,77,0.0
354,3.2356053532524123,-605.6000000000004,MOVING AWAY,74,0.0
355,3.111111111111111,0.0,MOVING AWAY,71,0.0
