frame,x,y,width,height,box_area,area_ratio,status,closer_chance,tracking
780,866,497,83,55,4565,1.0,📉 MOVING AWAY,100,success
781,869,495,87,58,5046,1.0,📉 MOVING AWAY,100,success
782,870,495,87,58,5046,1.0,📉 MOVING AWAY,100,success
783,875,495,87,58,5046,1.0,📉 MOVING AWAY,100,success
784,877,496,83,55,4565,0.9805648713079317,📉 MOVING AWAY,61,success
785,878,496,83,55,4565,0.9805648713079317,📉 MOVING AWAY,61,success
786,882,495,83,55,4565,0.9611297426158631,📉 MOVING AWAY,22,success
787,884,496,83,55,4565,0.9416946139237948,📉 MOVING AWAY,0,success
788,891,497,79,53,4187,0.9069861408541758,📉 MOVING AWAY,0,success
789,893,499,75,50,3750,0.891379594527773,📉 MOVING AWAY,0,success
790,894,499,75,50,3750,0.8577962749299488,📉 MOVING AWAY,0,success
791,898,499,75,50,3750,0.8408794719804936,📉 MOVING AWAY,0,success
792,899,499,75,50,3750,0.823264395434652,📉 MOVING AWAY,0,success
793,905,499,75,50,3750,0.8353009310821046,📉 MOVING AWAY,0,success
794,905,499,75,50,3750,0.8667714497041421,📉 MOVING AWAY,0,success
795,909,498,75,50,3750,0.9007061536244416,📉 MOVING AWAY,0,success
796,910,497,79,53,4187,0.9592540745925408,📉 MOVING AWAY,18,success
797,914,498,75,50,3750,1.0,📉 MOVING AWAY,100,success
798,919,498,75,50,3750,1.0233066666666666,📈 GETTING CLOSER,46,success
799,921,497,75,50,3750,1.0233066666666666,📈 GETTING CLOSER,46,success
800,924,498,71,48,3408,1.0050666666666668,📈 GETTING CLOSER,10,success
801,929,498,71,48,3408,0.9415750247563454,📉 MOVING AWAY,0,success
802,931,498,71,48,3408,0.9237504560379424,📉 MOVING AWAY,0,success
803,936,498,71,48,3408,0.9059258873195393,📉 MOVING AWAY,0,success
804,940,499,68,45,3060,0.8699640381508313,📉 MOVING AWAY,0,success
805,940,498,71,48,3408,0.8857521889095251,📉 MOVING AWAY,0,success
806,945,498,71,48,3408,0.9239455330454999,📉 MOVING AWAY,0,success
807,950,499,68,45,3060,0.9221394719025051,📉 MOVING AWAY,0,success
808,954,500,68,45,3060,0.9202623403520883,📉 MOVING AWAY,0,success
809,955,500,68,45,3060,0.9583033788641264,📉 MOVING AWAY,16,success
810,956,500,71,48,3408,0.9583033788641264,📉 MOVING AWAY,16,success
811,958,498,75,50,3750,0.9787922358015816,📉 MOVING AWAY,57,success
812,960,499,71,48,3408,1.0209251101321586,📈 GETTING CLOSER,41,success
813,964,499,71,48,3408,1.0648912228057015,📈 GETTING CLOSER,100,success
814,964,498,71,48,3408,1.0866466616654165,📈 GETTING CLOSER,100,success
815,966,497,71,48,3408,1.0866466616654165,📈 GETTING CLOSER,100,success
816,968,497,71,48,3408,1.0429673154608887,📈 GETTING CLOSER,85,success
817,968,497,71,48,3408,1.021215390147429,📈 GETTING CLOSER,42,success
818,969,497,71,48,3408,1.0003522367030644,📉 MOVING AWAY,100,success
819,969,497,71,48,3408,0.9803244735933724,📉 MOVING AWAY,60,success
820,969,497,71,48,3408,0.9803244735933724,📉 MOVING AWAY,60,success
821,968,498,71,48,3408,1.0,📉 MOVING AWAY,100,success
822,968,498,71,48,3408,1.0,📉 MOVING AWAY,100,success
823,967,498,71,48,3408,1.0,📉 MOVING AWAY,100,success
824,967,498,71,48,3408,1.0,📉 MOVING AWAY,100,success
825,967,498,71,48,3408,1.0,📉 MOVING AWAY,100,success
826,965,498,71,48,3408,1.0,📉 MOVING AWAY,100,success
827,964,498,71,48,3408,1.0,📉 MOVING AWAY,100,success
828,963,498,71,48,3408,1.0,📉 MOVING AWAY,100,success
829,962,498,71,48,3408,1.0,📉 MOVING AWAY,100,success
830,961,498,71,48,3408,1.0,📉 MOVING AWAY,100,success
831,959,498,71,48,3408,1.0,📉 MOVING AWAY,100,success
832,958,498,71,48,3408,1.0,📉 MOVING AWAY,100,success
833,956,497,71,48,3408,1.0,📉 MOVING AWAY,100,success
834,954,497,71,48,3408,1.0,📉 MOVING AWAY,100,success
835,953,497,71,48,3408,1.0,📉 MOVING AWAY,100,success
836,950,497,71,48,3408,1.0,📉 MOVING AWAY,100,success
837,949,497,71,48,3408,1.0,📉 MOVING AWAY,100,success
838,947,497,71,48,3408,1.0,📉 MOVING AWAY,100,success
839,945,497,71,48,3408,1.0,📉 MOVING AWAY,100,success
840,944,497,71,48,3408,1.0,📉 MOVING AWAY,100,success
841,942,497,71,48,3408,1.0,📉 MOVING AWAY,100,success
